fips,wage,employment
19041,23258.628977820637,8296
19043,21307.94230769231,5824
19045,25577.308218114027,19311
19047,22428.185209749627,6031
19049,28600.398153277933,10830
19051,21135.042253521126,1491
19053,17862.568452380954,1680
19055,22488.27141339001,4705
19057,27824.69237189891,21565
19059,22401.90284390683,7771
19061,27398.721025992967,46628
19063,23687.184203334244,3659
19065,20421.28845262019,6469
19067,22152.711388125925,4733
19069,24344.75424328147,2828
19071,24019.77373158756,2444
19073,22571.344356261023,2268
19075,25696.415523586486,2989
19077,20290.375869120653,2445
19079,24967.27969348659,7308
19081,26789.283800819412,6346
19083,23317.582437275985,6696
19085,19446.18753894081,3210
19087,26488.579755938114,9178
19089,23454.311774941994,3448
19091,23149.676955349118,3337
19093,25750.382161458332,3072
19095,27650.65254876603,9279
19097,18077.887099829513,5279
19099,30606.636001948686,12316
19101,28523.63580998782,7389
19103,24100.62006841505,43850
19105,20614.303448275863,4785
19107,21776.78369905956,1914
19109,21754.11972386588,5070
19111,25681.151737089203,15975
19113,34494.53529871641,110004
19115,22188.148337595907,2737
19117,22866.35409457901,2601
19119,19238.55483170467,2763
19121,21155.487218045113,2660
19123,22531.293301506787,6703
19125,30059.05931629196,16235
19127,26795.910274783477,16049
19129,20430.936529680366,2190
19131,21332.932055163135,2973
19133,18800.781058696433,2777
19135,27994.299662035297,2663
19137,22068.753285681345,4337
19139,32646.27679371082,20098
19141,19405.929531490016,5208
19143,21203.87148217636,2132
19145,23484.893420610944,5958
19147,19885.67175572519,2751
19149,25540.63506130873,8237
19151,20809.210405156537,2172
19153,33560.64030242607,231197
19155,23705.981348358266,30882
19157,27323.295873674506,8676
19159,19209.160231660233,1036
19161,19552.037659963436,2735
19163,28897.87924831598,78384
19165,19057.22492697176,4108
19167,22244.013070510104,14154
19169,24086.844488857045,26519
19171,21344.201714801446,4432
19173,18243.138769670957,1398
19175,21184.920375174617,5011
19177,20995.92252133946,1523
19179,24070.90471132691,13181
19181,22358.46208848503,6713
19183,21547.773375594294,5679
19185,18000.720823798627,1311
19187,26214.242105263158,16435
19189,19977.33642105263,4750
19191,23905.951129167166,8369
19193,25705.162239089183,46376
19195,20273.229062276307,1397
19197,24091.91240737222,5263
20001,22950.28932823129,4704
20003,17854.800988875155,1618
20005,22617.79619944212,5736
20007,20799.30412805392,1187
20009,23210.61576448243,10530
20011,21117.34022556391,5320
20013,20546.580447064604,4071
20015,23181.48124110953,11248
20017,16613.052083333332,480
20019,16466.961647727272,704
20021,23727.054559625878,5132
20023,23516.060422960723,662
20025,23530.928571428572,350
20027,17661.315331010454,2296
20029,18978.67556325823,2885
20031,36590.67460022313,2689
20033,15460.184757505775,433
20035,25002.744967032966,11375
20037,21385.63691495434,14016
20039,15105.898950131234,762
20041,19164.082729361853,5657
20043,27883.273007712083,1945
20045,22792.36365178546,35369
20047,21576.669798657716,745
20049,16060.302158273382,278
20051,21326.535529659162,11413
20053,22241.91819911224,1577
20055,23988.707070129276,17482
20057,24902.23209125475,13150
20059,22288.266646848988,6728
20061,18718.182081288538,7947
20063,18848.21659634318,711
20065,18292.9578313253,664
20067,28090.2951375801,2653
20069,24774.374153846155,1625
20071,20275.666666666668,447
20073,18146.557931034484,1450
20075,20843.19191919192,693
20077,19925.559936908518,1268
20079,24315.10856792072,11403
20081,26143.544689800212,951
20083,20549.73722627737,274
20085,20002.390695067264,3568
20087,19876.138580395946,2071
20089,15478.133171912832,413
20091,37582.65344308525,262410
20093,21071.43944099379,644
20095,21285.56987012987,1925
20097,18736.255102040817,784
20099,20010.065984213124,8108
20101,23410.66593886463,458
20103,24905.025480731187,12637
20105,14108.578467153284,548
20107,28259.835799859055,1419
20109,20395.069701280227,703
20111,22590.520114122683,14020
20113,26263.64401076716,11888
20115,18490.681560520174,2999
20117,22569.03387570019,3749
20119,24180.95901639344,732
20121,22464.0575982326,6337
20123,21961.32675846669,2687
20125,23012.42664475936,14607
20127,19020.497663551403,1284
20129,29256.108757062146,708
20131,21339.927229425775,3779
20133,20966.01093599228,6218
20135,20735.117117117115,777
20137,19766.691021671828,1615
20139,14476.06965648855,3144
20141,16704.815104166668,1152
20143,19750.13581730769,832
20145,20304.354746609566,1401
20147,20261.24726477024,1828
20149,24990.85470494418,6270
20151,22649.8381270903,2990
20153,17222.631329113923,632
20155,26337.949100780454,23576
20157,18855.211912225706,1595
20159,22040.94262295082,2318
20161,19834.988727020464,17298
20163,20284.396253602306,1388
20165,22416.72405063291,790
20167,18150.779621945596,2169
20169,25567.24858168761,27850
20171,23279.75305623472,1636
20173,32713.402759986024,223262
20175,26822.470363880013,9701
20177,28576.809161277182,78548
20179,23525.493123772103,509
20181,17571.307011070112,2710
20183,16615.061637534498,1087
20185,20463.69827586207,812
20187,21119.762741652023,569
20189,23921.465630114566,1222
20191,21623.42421859642,5087
20193,19204.699618563256,3146
20195,18047.77794117647,680
20197,18705.589646464647,792
20199,17560.330459770114,348
20201,16121.277213352685,1378
20203,23355.51606805293,529
20205,24755.47124600639,3130
20207,16026.791583166332,499
20209,34022.69344598711,62374
21001,20984.30923815237,3334
21003,22203.56640625,4352
21005,26404.416666666668,3384
21007,34994.50896450787,2733
21009,24078.045561565385,15715
21011,19518.752974107767,1429
21013,20885.094568842305,8396
21015,33257.693061581194,64078
21017,26629.33308411215,5350
21019,29447.140662662907,24477
21021,24952.857845885505,16053
21023,22954.98128078818,1015
21025,18845.520497466605,2171
